epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4828,2.53816,2.04795,1.63546,0.52831,0.5375,0.48769,0.1487,2.3656,1.88354,1.5866,0.000661111,0.000661111,0.000661111
2,148.434,2.39628,1.54752,1.57902,0.57383,0.61713,0.57018,0.18389,2.35004,1.47061,1.6564,0.00130149,0.00130149,0.00130149
3,223.419,2.35803,1.49592,1.56355,0.57187,0.61083,0.55397,0.17241,2.29895,1.51226,1.60996,0.00191546,0.00191546,0.00191546
4,300.888,2.33583,1.44536,1.55117,0.62736,0.64333,0.61269,0.19756,2.26876,1.41429,1.60775,0.0018812,0.0018812,0.0018812
5,379.191,2.29538,1.40248,1.5332,0.6159,0.6175,0.5811,0.1929,2.30517,1.43302,1.60748,0.0018416,0.0018416,0.0018416
6,458.646,2.28408,1.36862,1.52249,0.63752,0.66333,0.61486,0.20369,2.23255,1.44849,1.61612,0.001802,0.001802,0.001802
7,538.356,2.24187,1.35233,1.5039,0.65128,0.69881,0.65902,0.22819,2.22685,1.33235,1.57546,0.0017624,0.0017624,0.0017624
8,617.96,2.23086,1.32423,1.48452,0.67036,0.6925,0.66871,0.23308,2.15204,1.33843,1.55665,0.0017228,0.0017228,0.0017228
9,698.392,2.22226,1.32123,1.50845,0.68055,0.69591,0.66584,0.22417,2.1874,1.37111,1.55209,0.0016832,0.0016832,0.0016832
10,777.625,2.19459,1.2952,1.46878,0.72197,0.70833,0.70457,0.24903,2.15463,1.29498,1.53706,0.0016436,0.0016436,0.0016436
11,856.613,2.1871,1.26729,1.47636,0.69231,0.7175,0.69717,0.24415,2.16822,1.29319,1.53538,0.001604,0.001604,0.001604
12,935.795,2.15877,1.2788,1.47058,0.69783,0.71978,0.70214,0.24934,2.14269,1.28671,1.5424,0.0015644,0.0015644,0.0015644
13,1010.46,2.13809,1.24816,1.44967,0.70288,0.688,0.67492,0.23188,2.1754,1.30537,1.58927,0.0015248,0.0015248,0.0015248
14,1085.12,2.13509,1.22617,1.42965,0.73346,0.71917,0.72902,0.26343,2.14101,1.27553,1.51203,0.0014852,0.0014852,0.0014852
15,1163.01,2.09992,1.20655,1.42347,0.75677,0.73333,0.73237,0.26881,2.1202,1.22806,1.50833,0.0014456,0.0014456,0.0014456
16,1240.2,2.08841,1.21043,1.42596,0.75155,0.72853,0.73311,0.27299,2.09378,1.22393,1.5117,0.001406,0.001406,0.001406
17,1319.89,2.08281,1.20614,1.44215,0.78591,0.7725,0.76448,0.2848,2.10191,1.18711,1.51104,0.0013664,0.0013664,0.0013664
18,1399.11,2.04592,1.16062,1.39649,0.77118,0.75333,0.75936,0.28274,2.10633,1.21564,1.51444,0.0013268,0.0013268,0.0013268
19,1478.93,2.04126,1.14508,1.39011,0.82006,0.77667,0.78656,0.3086,2.02912,1.15371,1.46156,0.0012872,0.0012872,0.0012872
20,1559,1.99395,1.12517,1.38136,0.79704,0.7525,0.77597,0.31249,2.0467,1.14276,1.46319,0.0012476,0.0012476,0.0012476
21,1635.43,2.02317,1.13166,1.38677,0.80932,0.77083,0.79594,0.31855,1.99836,1.14024,1.45231,0.001208,0.001208,0.001208
22,1710.34,1.97104,1.10894,1.38442,0.80487,0.80435,0.8079,0.33068,1.99732,1.13128,1.43617,0.0011684,0.0011684,0.0011684
23,1787.78,1.9607,1.08793,1.37668,0.81637,0.77429,0.80219,0.33494,1.9973,1.09355,1.44338,0.0011288,0.0011288,0.0011288
24,1863.36,1.96301,1.07784,1.36194,0.81834,0.77833,0.80006,0.33141,1.99817,1.12023,1.4443,0.0010892,0.0010892,0.0010892
25,1939.94,1.94708,1.08448,1.35437,0.83856,0.79211,0.8201,0.35084,1.95953,1.07444,1.43815,0.0010496,0.0010496,0.0010496
26,2019.17,1.91624,1.04358,1.3507,0.8317,0.8,0.82841,0.35748,1.95163,1.05782,1.4187,0.00101,0.00101,0.00101
27,2094.2,1.876,1.04563,1.32686,0.84255,0.81607,0.84398,0.37036,1.91679,1.02939,1.40843,0.0009704,0.0009704,0.0009704
28,2169.01,1.87346,1.02349,1.32699,0.84033,0.82455,0.85024,0.37718,1.89085,1.02201,1.40172,0.0009308,0.0009308,0.0009308
29,2244.94,1.85311,0.99621,1.30976,0.84676,0.82,0.84954,0.37739,1.90492,1.00404,1.40426,0.0008912,0.0008912,0.0008912
30,2322.38,1.84039,0.98634,1.30419,0.86117,0.82189,0.85776,0.38209,1.90136,1.01267,1.39062,0.0008516,0.0008516,0.0008516
31,2401.53,1.81711,0.98094,1.30164,0.86766,0.84,0.8714,0.38158,1.90351,0.98525,1.39903,0.000812,0.000812,0.000812
32,2481.3,1.81481,0.96099,1.2748,0.86081,0.83491,0.86131,0.39037,1.86568,0.96953,1.37128,0.0007724,0.0007724,0.0007724
33,2560.04,1.76656,0.94084,1.25648,0.87354,0.83465,0.87136,0.39756,1.85193,0.95955,1.36123,0.0007328,0.0007328,0.0007328
34,2639.18,1.7537,0.94228,1.25992,0.85351,0.83,0.8654,0.39857,1.84761,0.95098,1.36605,0.0006932,0.0006932,0.0006932
35,2718.69,1.75084,0.93088,1.254,0.85622,0.81583,0.86651,0.40741,1.81989,0.94182,1.3575,0.0006536,0.0006536,0.0006536
36,2797.74,1.71554,0.92307,1.24478,0.87785,0.83167,0.87655,0.41017,1.82256,0.91627,1.35841,0.000614,0.000614,0.000614
37,2874.78,1.73429,0.91442,1.25927,0.86729,0.83326,0.87625,0.41385,1.81257,0.92938,1.35186,0.0005744,0.0005744,0.0005744
38,2950.4,1.70938,0.91591,1.25227,0.89201,0.84665,0.87957,0.41558,1.80814,0.90898,1.35481,0.0005348,0.0005348,0.0005348
39,3026.66,1.66951,0.88744,1.22908,0.86861,0.8375,0.87812,0.42182,1.79536,0.8894,1.34523,0.0004952,0.0004952,0.0004952
40,3110.4,1.67994,0.89264,1.23286,0.86828,0.85146,0.88467,0.42424,1.79565,0.89219,1.34125,0.0004556,0.0004556,0.0004556
41,3186.07,1.61946,0.87906,1.25217,0.87475,0.83229,0.87805,0.41976,1.78771,0.87931,1.33789,0.000416,0.000416,0.000416
42,3260.17,1.57125,0.8407,1.22729,0.86432,0.84833,0.88119,0.42171,1.77299,0.88854,1.34391,0.0003764,0.0003764,0.0003764
43,3335.44,1.55531,0.84166,1.22501,0.89036,0.84167,0.89746,0.43565,1.75874,0.86785,1.33475,0.0003368,0.0003368,0.0003368
44,3410.06,1.54982,0.829,1.22751,0.89418,0.85,0.89582,0.44492,1.7427,0.86398,1.32392,0.0002972,0.0002972,0.0002972
45,3485.13,1.53337,0.81667,1.20999,0.89622,0.84167,0.89321,0.44583,1.73404,0.85717,1.32233,0.0002576,0.0002576,0.0002576
46,3560.03,1.50191,0.80242,1.19364,0.88771,0.85639,0.89994,0.45762,1.70252,0.84685,1.30579,0.000218,0.000218,0.000218
47,3643.84,1.48707,0.7995,1.19835,0.88711,0.84667,0.8975,0.45511,1.69866,0.84656,1.29906,0.0001784,0.0001784,0.0001784
48,3716.52,1.45825,0.78964,1.1776,0.88727,0.85266,0.89781,0.45603,1.69814,0.84071,1.3015,0.0001388,0.0001388,0.0001388
49,3788.94,1.4612,0.78417,1.1836,0.9034,0.86501,0.90637,0.459,1.68341,0.8339,1.29261,9.92e-05,9.92e-05,9.92e-05
50,3862.45,1.4303,0.77797,1.17375,0.89386,0.8625,0.90424,0.46081,1.67441,0.83138,1.29244,5.96e-05,5.96e-05,5.96e-05
