epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8626,2.82029,2.46178,1.50468,0.23643,0.67167,0.39394,0.10761,2.49273,2.31941,1.3818,0.00058,0.00058,0.00058
2,37.621,2.64048,1.45313,1.38134,0.5887,0.425,0.43073,0.12711,2.66002,1.78096,1.49673,0.00112159,0.00112159,0.00112159
3,55.7528,2.62369,1.40565,1.4083,0.51724,0.535,0.45417,0.13179,2.53974,1.55146,1.45531,0.00160378,0.00160378,0.00160378
4,74.4196,2.56775,1.40999,1.40738,0.48792,0.50977,0.44276,0.13687,2.49022,1.4112,1.45648,0.001703,0.001703,0.001703
5,93.8453,2.56135,1.38996,1.41536,0.54431,0.62311,0.51173,0.15447,2.43418,1.33671,1.4097,0.001604,0.001604,0.001604
6,113.509,2.50985,1.34868,1.37582,0.58721,0.61405,0.54192,0.16038,2.40894,1.27604,1.3717,0.001505,0.001505,0.001505
7,133.371,2.47696,1.28263,1.36673,0.65695,0.65167,0.60163,0.1822,2.37214,1.26432,1.35449,0.001406,0.001406,0.001406
8,152.624,2.46174,1.29263,1.38091,0.59807,0.63333,0.58373,0.18941,2.38946,1.25824,1.34723,0.001307,0.001307,0.001307
9,171.645,2.45043,1.26111,1.33141,0.61168,0.6222,0.58238,0.18407,2.36766,1.25427,1.34579,0.001208,0.001208,0.001208
10,190.68,2.44801,1.29495,1.33282,0.64711,0.61167,0.57593,0.1801,2.37606,1.24967,1.35276,0.001109,0.001109,0.001109
11,208.85,2.41505,1.35743,1.40057,0.65034,0.66167,0.58335,0.18571,2.40633,1.29007,1.39076,0.00101,0.00101,0.00101
12,227.544,2.35672,1.32325,1.37827,0.64058,0.68022,0.59146,0.19004,2.29701,1.27649,1.33104,0.000911,0.000911,0.000911
13,247.007,2.34871,1.29374,1.35606,0.66024,0.69957,0.64072,0.20501,2.28031,1.24164,1.31511,0.000812,0.000812,0.000812
14,265.74,2.30738,1.28832,1.38157,0.68494,0.67032,0.6337,0.20797,2.27019,1.20309,1.3163,0.000713,0.000713,0.000713
15,283.638,2.29257,1.2708,1.38709,0.68735,0.67833,0.64239,0.20622,2.29256,1.20362,1.3207,0.000614,0.000614,0.000614
16,301.765,2.27435,1.24853,1.34673,0.68375,0.71333,0.65886,0.21231,2.31406,1.18889,1.32011,0.000515,0.000515,0.000515
17,320.747,2.25323,1.2476,1.35479,0.68757,0.685,0.65594,0.21608,2.27027,1.18801,1.29904,0.000416,0.000416,0.000416
18,338.338,2.25883,1.22968,1.34803,0.71091,0.70906,0.66697,0.21866,2.27506,1.16456,1.30226,0.000317,0.000317,0.000317
19,354.81,2.24766,1.2087,1.33842,0.69913,0.72,0.66725,0.22413,2.26763,1.16367,1.30129,0.000218,0.000218,0.000218
20,371.456,2.22108,1.21925,1.34238,0.70371,0.72835,0.67863,0.23655,2.24586,1.14312,1.29421,0.000119,0.000119,0.000119
